id,vendor_name,vendor_code,invoice_number,invoice_date,due_date,amount,paid_amount,balance,category,payment_terms,status,currency,description,created_at
388,Swissport,V-SWI574,AP-70388,2023-08-16,2023-08-31,860134.41,89275.71,770858.7,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Swissport,2023-08-16 11:30:00
389,Menzies Aviation,V-MEN381,AP-70389,2023-08-17,2023-09-01,1686346.72,493370.83,1192975.89,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Menzies Aviation,2023-08-17 11:30:00
390,World Fuel Services,V-WOR909,AP-70390,2023-08-17,2023-09-01,10117750.47,307203.58,9810546.89,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2023-08-17 11:30:00
391,Avolon,V-AVO530,AP-70391,2023-08-18,2023-09-17,3746267.44,1377481.59,2368785.85,Lease Expense,Net 30,Overdue,USD,Lease Expense services from Avolon,2023-08-18 11:30:00
392,Chevron Aviation,V-CHE958,AP-70392,2023-08-18,2023-09-02,12218570.21,3491635.81,8726934.4,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Chevron Aviation,2023-08-18 11:30:00
393,GE Aerospace Services,V-GEA951,AP-70393,2023-08-18,2023-09-17,1769613.3,442493.68,1327119.62,Maintenance,Net 30,Overdue,USD,Maintenance services from GE Aerospace Services,2023-08-18 11:30:00
394,Swissport Fueling,V-SWI553,AP-70394,2023-08-18,2023-09-02,1763041.02,164403.6,1598637.42,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Swissport Fueling,2023-08-18 11:30:00
395,JLL,V-JLL158,AP-70395,2023-08-19,2023-09-18,412834.26,125680.5,287153.76,General Admin,Net 30,Overdue,USD,General Admin services from JLL,2023-08-19 11:30:00
396,Swissport Fueling,V-SWI553,AP-70396,2023-08-19,2023-09-03,1854446.29,746857.13,1107589.16,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Swissport Fueling,2023-08-19 11:30:00
397,AAR Corp,V-AAR941,AP-70397,2023-08-21,2023-09-20,2228821.1,522680.28,1706140.82,Maintenance,Net 30,Overdue,USD,Maintenance services from AAR Corp,2023-08-21 11:30:00
398,AT&T Business,V-ATT865,AP-70398,2023-08-21,2023-09-20,387319.62,76797.61,310522.01,General Admin,Net 30,Overdue,USD,General Admin services from AT&T Business,2023-08-21 11:30:00
399,ConEdison,V-CON551,AP-70399,2023-08-22,2023-09-21,390466.03,46114.21,344351.82,General Admin,Net 30,Overdue,USD,General Admin services from ConEdison,2023-08-22 11:30:00
400,SMBC Aviation Capital,V-SMB239,AP-70400,2023-08-22,2023-09-21,3752314.31,1556379.56,2195934.75,Lease Expense,Net 30,Overdue,USD,Lease Expense services from SMBC Aviation Capital,2023-08-22 11:30:00
401,AT&T Business,V-ATT865,AP-70401,2023-08-23,2023-09-22,342410.93,114275.11,228135.82,General Admin,Net 30,Overdue,USD,General Admin services from AT&T Business,2023-08-23 11:30:00
402,Chevron Aviation,V-CHE958,AP-70402,2023-08-24,2023-09-08,6139814.11,1842954.33,4296859.78,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Chevron Aviation,2023-08-24 11:30:00
403,Dallas/Fort Worth DFW,V-DAL794,AP-70403,2023-08-24,2023-09-08,2025234.17,342171.89,1683062.28,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Dallas/Fort Worth DFW,2023-08-24 11:30:00
404,dnata Catering,V-DNA350,AP-70404,2023-08-25,2023-09-24,1325578.12,165128.09,1160450.03,Catering,Net 30,Overdue,USD,Catering services from dnata Catering,2023-08-25 11:30:00
405,LSG Sky Chefs,V-LSG959,AP-70405,2023-08-26,2023-09-25,1464095.35,338172.51,1125922.84,Catering,Net 30,Overdue,USD,Catering services from LSG Sky Chefs,2023-08-26 11:30:00
406,Pratt & Whitney Services,V-PRA964,AP-70406,2023-08-26,2023-09-25,1733569.01,193556.24,1540012.77,Maintenance,Net 30,Overdue,USD,Maintenance services from Pratt & Whitney Services,2023-08-26 11:30:00
407,Visa Merchant Services,V-VIS840,AP-70407,2023-08-27,2023-09-26,694803.22,37478.08,657325.14,Distribution,Net 30,Overdue,USD,Distribution services from Visa Merchant Services,2023-08-27 11:30:00
408,Mastercard Merchant Services,V-MAS103,AP-70408,2023-08-28,2023-09-27,638287.82,29975.79,608312.03,Distribution,Net 30,Overdue,USD,Distribution services from Mastercard Merchant Services,2023-08-28 11:30:00
409,SITA,V-SIT591,AP-70409,2023-08-29,2023-09-28,386088.71,116182.61,269906.1,General Admin,Net 30,Overdue,USD,General Admin services from SITA,2023-08-29 11:30:00
410,Visa Merchant Services,V-VIS840,AP-70410,2023-08-29,2023-09-28,595138.67,253087.6,342051.07,Distribution,Net 30,Overdue,USD,Distribution services from Visa Merchant Services,2023-08-29 11:30:00
411,Dallas/Fort Worth DFW,V-DAL794,AP-70411,2023-08-30,2023-09-14,2256232.66,887315.74,1368916.92,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Dallas/Fort Worth DFW,2023-08-30 11:30:00
412,JLL,V-JLL158,AP-70412,2023-08-30,2023-09-29,301629.74,36185.08,265444.66,General Admin,Net 30,Overdue,USD,General Admin services from JLL,2023-08-30 11:30:00
413,World Fuel Services,V-WOR909,AP-70413,2023-08-30,2023-09-14,7554683.97,3227648.22,4327035.75,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2023-08-30 11:30:00
414,Dallas/Fort Worth DFW,V-DAL794,AP-70414,2023-08-31,2023-09-15,2088000.81,473966.87,1614033.94,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Dallas/Fort Worth DFW,2023-08-31 11:30:00
415,AAR Corp,V-AAR941,AP-70415,2023-09-01,2023-10-01,2062029.02,4985.57,2057043.45,Maintenance,Net 30,Overdue,USD,Maintenance services from AAR Corp,2023-09-01 11:30:00
416,Mastercard Merchant Services,V-MAS103,AP-70416,2023-09-01,2023-10-01,515066.66,126550.56,388516.1,Distribution,Net 30,Overdue,USD,Distribution services from Mastercard Merchant Services,2023-09-01 11:30:00
417,Swissport Fueling,V-SWI553,AP-70417,2023-09-01,2023-09-16,1360476.88,293085.09,1067391.79,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Swissport Fueling,2023-09-01 11:30:00
418,CBRE,V-CBR654,AP-70418,2023-09-02,2023-10-02,442694.09,159524.85,283169.24,General Admin,Net 30,Overdue,USD,General Admin services from CBRE,2023-09-02 11:30:00
419,Dallas/Fort Worth DFW,V-DAL794,AP-70419,2023-09-02,2023-09-17,2232857.81,236840.2,1996017.61,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Dallas/Fort Worth DFW,2023-09-02 11:30:00
420,Signature Aviation,V-SIG943,AP-70420,2023-09-02,2023-09-17,1526933.96,430718.2,1096215.76,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Signature Aviation,2023-09-02 11:30:00
421,Visa Merchant Services,V-VIS840,AP-70421,2023-09-02,2023-10-02,611613.14,274970.83,336642.31,Distribution,Net 30,Overdue,USD,Distribution services from Visa Merchant Services,2023-09-02 11:30:00
422,AAR Corp,V-AAR941,AP-70422,2023-09-03,2023-10-03,2100495.36,67431.68,2033063.68,Maintenance,Net 30,Overdue,USD,Maintenance services from AAR Corp,2023-09-03 11:30:00
423,SMBC Aviation Capital,V-SMB239,AP-70423,2023-09-03,2023-10-03,3016468.2,703157.17,2313311.03,Lease Expense,Net 30,Overdue,USD,Lease Expense services from SMBC Aviation Capital,2023-09-03 11:30:00
424,AAR Corp,V-AAR941,AP-70424,2023-09-04,2023-10-04,1769775.22,254341.25,1515433.97,Maintenance,Net 30,Overdue,USD,Maintenance services from AAR Corp,2023-09-04 11:30:00
425,AIG Aviation,V-AIG150,AP-70425,2023-09-04,2023-10-19,644482.02,123977.69,520504.33,Insurance,Net 45,Overdue,USD,Insurance services from AIG Aviation,2023-09-04 11:30:00
426,AAR Corp,V-AAR941,AP-70426,2023-09-05,2023-10-05,2226832.93,149174.54,2077658.39,Maintenance,Net 30,Overdue,USD,Maintenance services from AAR Corp,2023-09-05 11:30:00
427,AIG Aviation,V-AIG150,AP-70427,2023-09-05,2023-10-20,713291.6,205788.2,507503.4,Insurance,Net 45,Overdue,USD,Insurance services from AIG Aviation,2023-09-05 11:30:00
428,AT&T Business,V-ATT865,AP-70428,2023-09-06,2023-10-06,382834.18,4051.85,378782.33,General Admin,Net 30,Overdue,USD,General Admin services from AT&T Business,2023-09-06 11:30:00
429,CBRE,V-CBR654,AP-70429,2023-09-06,2023-10-06,287120.93,11676.0,275444.93,General Admin,Net 30,Overdue,USD,General Admin services from CBRE,2023-09-06 11:30:00
430,LSG Sky Chefs,V-LSG959,AP-70430,2023-09-06,2023-10-06,962222.45,407390.97,554831.48,Catering,Net 30,Overdue,USD,Catering services from LSG Sky Chefs,2023-09-06 11:30:00
431,Menzies Aviation,V-MEN381,AP-70431,2023-09-06,2023-09-21,814181.11,104174.11,710007.0,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Menzies Aviation,2023-09-06 11:30:00
432,Mastercard Merchant Services,V-MAS103,AP-70432,2023-09-07,2023-10-07,622295.25,141605.18,480690.07,Distribution,Net 30,Overdue,USD,Distribution services from Mastercard Merchant Services,2023-09-07 11:30:00
433,dnata,V-DNA868,AP-70433,2023-09-07,2023-09-22,736058.77,156746.66,579312.11,Airport Fees,Net 15,Overdue,USD,Airport Fees services from dnata,2023-09-07 11:30:00
434,Mastercard Merchant Services,V-MAS103,AP-70434,2023-09-08,2023-10-08,584312.28,57739.01,526573.27,Distribution,Net 30,Overdue,USD,Distribution services from Mastercard Merchant Services,2023-09-08 11:30:00
435,Swissport Fueling,V-SWI553,AP-70435,2023-09-08,2023-09-23,1592541.96,461106.45,1131435.51,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Swissport Fueling,2023-09-08 11:30:00
436,World Fuel Services,V-WOR909,AP-70436,2023-09-08,2023-09-23,8954248.59,3815763.0,5138485.59,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2023-09-08 11:30:00
437,Rolls-Royce TotalCare,V-ROL451,AP-70437,2023-09-10,2023-10-10,1548025.65,98127.46,1449898.19,Maintenance,Net 30,Overdue,USD,Maintenance services from Rolls-Royce TotalCare,2023-09-10 11:30:00
438,Delta TechOps,V-DEL976,AP-70438,2023-09-11,2023-10-11,1985084.54,594868.7,1390215.84,Maintenance,Net 30,Overdue,USD,Maintenance services from Delta TechOps,2023-09-11 11:30:00
439,Travelport,V-TRA903,AP-70439,2023-09-11,2023-10-11,812674.96,8232.66,804442.3,Distribution,Net 30,Overdue,USD,Distribution services from Travelport,2023-09-11 11:30:00
440,AAR Corp,V-AAR941,AP-70440,2023-09-12,2023-10-12,1729469.98,735789.95,993680.03,Maintenance,Net 30,Overdue,USD,Maintenance services from AAR Corp,2023-09-12 11:30:00
441,Menzies Aviation,V-MEN381,AP-70441,2023-09-12,2023-09-27,700363.27,275288.26,425075.01,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Menzies Aviation,2023-09-12 11:30:00
442,Sabre Travel Network,V-SAB834,AP-70442,2023-09-13,2023-10-13,901215.52,153506.64,747708.88,Distribution,Net 30,Overdue,USD,Distribution services from Sabre Travel Network,2023-09-13 11:30:00
443,dnata,V-DNA868,AP-70443,2023-09-13,2023-09-28,785919.47,326328.0,459591.47,Airport Fees,Net 15,Overdue,USD,Airport Fees services from dnata,2023-09-13 11:30:00
444,Amadeus,V-AMA488,AP-70444,2023-09-14,2023-10-14,969878.23,177842.73,792035.5,Distribution,Net 30,Overdue,USD,Distribution services from Amadeus,2023-09-14 11:30:00
445,World Fuel Services,V-WOR909,AP-70445,2023-09-14,2023-09-29,9013525.63,1241685.72,7771839.91,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2023-09-14 11:30:00
446,AAR Corp,V-AAR941,AP-70446,2023-09-15,2023-10-15,1977640.93,802824.05,1174816.88,Maintenance,Net 30,Overdue,USD,Maintenance services from AAR Corp,2023-09-15 11:30:00
447,ConEdison,V-CON551,AP-70447,2023-09-15,2023-10-15,323542.51,8529.79,315012.72,General Admin,Net 30,Overdue,USD,General Admin services from ConEdison,2023-09-15 11:30:00
448,World Fuel Services,V-WOR909,AP-70448,2023-09-15,2023-09-30,7566479.6,3232111.76,4334367.84,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2023-09-15 11:30:00
449,Chicago ORD,V-CHI855,AP-70449,2023-09-16,2023-10-01,1958164.53,41499.5,1916665.03,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Chicago ORD,2023-09-16 11:30:00
450,Lufthansa Technik,V-LUF443,AP-70450,2023-09-16,2023-10-16,1943827.15,440949.57,1502877.58,Maintenance,Net 30,Overdue,USD,Maintenance services from Lufthansa Technik,2023-09-16 11:30:00
451,Pratt & Whitney Services,V-PRA964,AP-70451,2023-09-16,2023-10-16,1544444.46,193811.59,1350632.87,Maintenance,Net 30,Overdue,USD,Maintenance services from Pratt & Whitney Services,2023-09-16 11:30:00
452,World Fuel Services,V-WOR909,AP-70452,2023-09-16,2023-10-01,1039728.97,372428.15,667300.82,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2023-09-16 11:30:00
453,Mastercard Merchant Services,V-MAS103,AP-70453,2023-09-17,2023-10-17,622109.73,264171.16,357938.57,Distribution,Net 30,Overdue,USD,Distribution services from Mastercard Merchant Services,2023-09-17 11:30:00
454,Menzies Aviation,V-MEN381,AP-70454,2023-09-19,2023-10-04,709285.91,189566.93,519718.98,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Menzies Aviation,2023-09-19 11:30:00
455,LSG Sky Chefs,V-LSG959,AP-70455,2023-09-20,2023-10-20,1031826.14,285287.68,746538.46,Catering,Net 30,Overdue,USD,Catering services from LSG Sky Chefs,2023-09-20 11:30:00
456,Gate Gourmet,V-GAT696,AP-70456,2023-09-21,2023-10-21,1055459.3,7363.04,1048096.26,Catering,Net 30,Overdue,USD,Catering services from Gate Gourmet,2023-09-21 11:30:00
457,Amadeus,V-AMA488,AP-70457,2023-09-22,2023-10-22,1028567.11,19880.18,1008686.93,Distribution,Net 30,Overdue,USD,Distribution services from Amadeus,2023-09-22 11:30:00
458,Marsh Aviation,V-MAR666,AP-70458,2023-09-22,2023-11-06,803505.48,3785.94,799719.54,Insurance,Net 45,Overdue,USD,Insurance services from Marsh Aviation,2023-09-22 11:30:00
459,Swissport Fueling,V-SWI553,AP-70459,2023-09-22,2023-10-07,1513734.38,677819.95,835914.43,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Swissport Fueling,2023-09-22 11:30:00
460,Visa Merchant Services,V-VIS840,AP-70460,2023-09-22,2023-10-22,651917.18,222271.86,429645.32,Distribution,Net 30,Overdue,USD,Distribution services from Visa Merchant Services,2023-09-22 11:30:00
461,Chevron Aviation,V-CHE958,AP-70461,2023-09-23,2023-10-08,4748940.03,109502.17,4639437.86,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Chevron Aviation,2023-09-23 11:30:00
462,Amadeus,V-AMA488,AP-70462,2023-09-25,2023-10-25,980200.52,352190.0,628010.52,Distribution,Net 30,Overdue,USD,Distribution services from Amadeus,2023-09-25 11:30:00
463,CBRE,V-CBR654,AP-70463,2023-09-25,2023-10-25,320361.76,50465.04,269896.72,General Admin,Net 30,Overdue,USD,General Admin services from CBRE,2023-09-25 11:30:00
464,AAR Corp,V-AAR941,AP-70464,2023-09-26,2023-10-26,1864583.15,197930.91,1666652.24,Maintenance,Net 30,Overdue,USD,Maintenance services from AAR Corp,2023-09-26 11:30:00
465,Gate Gourmet,V-GAT696,AP-70465,2023-09-27,2023-10-27,1046578.03,137278.68,909299.35,Catering,Net 30,Overdue,USD,Catering services from Gate Gourmet,2023-09-27 11:30:00
466,Pratt & Whitney Services,V-PRA964,AP-70466,2023-09-28,2023-10-28,1293936.98,227522.58,1066414.4,Maintenance,Net 30,Overdue,USD,Maintenance services from Pratt & Whitney Services,2023-09-28 11:30:00
467,World Fuel Services,V-WOR909,AP-70467,2023-09-28,2023-10-13,2412368.1,688512.48,1723855.62,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2023-09-28 11:30:00
468,Menzies Aviation,V-MEN381,AP-70468,2023-09-29,2023-10-14,686462.21,96963.76,589498.45,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Menzies Aviation,2023-09-29 11:30:00
469,AIG Aviation,V-AIG150,AP-70469,2023-09-30,2023-11-14,797099.53,223583.57,573515.96,Insurance,Net 45,Overdue,USD,Insurance services from AIG Aviation,2023-09-30 11:30:00
470,Los Angeles LAX,V-LOS944,AP-70470,2023-09-30,2023-10-15,1937775.2,799494.59,1138280.61,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Los Angeles LAX,2023-09-30 11:30:00
471,Mastercard Merchant Services,V-MAS103,AP-70471,2023-09-30,2023-10-30,528514.32,188109.45,340404.87,Distribution,Net 30,Overdue,USD,Distribution services from Mastercard Merchant Services,2023-09-30 11:30:00
472,LSG Sky Chefs,V-LSG959,AP-70472,2023-10-02,2023-11-01,956755.97,273281.35,683474.62,Catering,Net 30,Overdue,USD,Catering services from LSG Sky Chefs,2023-10-02 11:30:00
473,Menzies Aviation,V-MEN381,AP-70473,2023-10-02,2023-10-17,1474028.77,115664.1,1358364.67,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Menzies Aviation,2023-10-02 11:30:00
474,World Fuel Services,V-WOR909,AP-70474,2023-10-02,2023-10-17,1866616.48,107166.01,1759450.47,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2023-10-02 11:30:00
475,dnata Catering,V-DNA350,AP-70475,2023-10-03,2023-11-02,932951.63,381800.45,551151.18,Catering,Net 30,Overdue,USD,Catering services from dnata Catering,2023-10-03 11:30:00
476,Lufthansa Technik,V-LUF443,AP-70476,2023-10-05,2023-11-04,1995779.95,630161.65,1365618.3,Maintenance,Net 30,Overdue,USD,Maintenance services from Lufthansa Technik,2023-10-05 11:30:00
477,Marsh Aviation,V-MAR666,AP-70477,2023-10-05,2023-11-19,580543.93,122321.48,458222.45,Insurance,Net 45,Overdue,USD,Insurance services from Marsh Aviation,2023-10-05 11:30:00
478,LSG Sky Chefs,V-LSG959,AP-70478,2023-10-06,2023-11-05,1230324.08,72694.52,1157629.56,Catering,Net 30,Overdue,USD,Catering services from LSG Sky Chefs,2023-10-06 11:30:00
479,dnata,V-DNA868,AP-70479,2023-10-06,2023-10-21,742759.41,75015.41,667744.0,Airport Fees,Net 15,Overdue,USD,Airport Fees services from dnata,2023-10-06 11:30:00
480,JLL,V-JLL158,AP-70480,2023-10-07,2023-11-06,299339.51,129637.68,169701.83,General Admin,Net 30,Overdue,USD,General Admin services from JLL,2023-10-07 11:30:00
481,Pratt & Whitney Services,V-PRA964,AP-70481,2023-10-07,2023-11-06,1566232.69,74113.6,1492119.09,Maintenance,Net 30,Overdue,USD,Maintenance services from Pratt & Whitney Services,2023-10-07 11:30:00
482,World Fuel Services,V-WOR909,AP-70482,2023-10-08,2023-10-23,7648102.87,698348.04,6949754.83,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2023-10-08 11:30:00
483,GE Aerospace Services,V-GEA951,AP-70483,2023-10-09,2023-11-08,1416167.96,125641.05,1290526.91,Maintenance,Net 30,Overdue,USD,Maintenance services from GE Aerospace Services,2023-10-09 11:30:00
484,Avolon,V-AVO530,AP-70484,2023-10-13,2023-11-12,2755928.79,169429.57,2586499.22,Lease Expense,Net 30,Overdue,USD,Lease Expense services from Avolon,2023-10-13 11:30:00
485,Denver DEN,V-DEN420,AP-70485,2023-10-13,2023-10-28,1834669.98,429375.15,1405294.83,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Denver DEN,2023-10-13 11:30:00
486,Menzies Aviation,V-MEN381,AP-70486,2023-10-13,2023-10-28,710446.6,56490.97,653955.63,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Menzies Aviation,2023-10-13 11:30:00
487,World Fuel Services,V-WOR909,AP-70487,2023-10-13,2023-10-28,9496891.55,4197981.74,5298909.81,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2023-10-13 11:30:00
488,Allianz Global Corporate & Specialty,V-ALL825,AP-70488,2023-10-14,2023-11-28,700585.84,138296.82,562289.02,Insurance,Net 45,Overdue,USD,Insurance services from Allianz Global Corporate & Specialty,2023-10-14 11:30:00
489,Chevron Aviation,V-CHE958,AP-70489,2023-10-14,2023-10-29,10523502.78,34732.95,10488769.83,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Chevron Aviation,2023-10-14 11:30:00
490,Travelport,V-TRA903,AP-70490,2023-10-14,2023-11-13,1017194.93,251758.17,765436.76,Distribution,Net 30,Overdue,USD,Distribution services from Travelport,2023-10-14 11:30:00
491,AIG Aviation,V-AIG150,AP-70491,2023-10-16,2023-11-30,647979.97,137706.34,510273.63,Insurance,Net 45,Overdue,USD,Insurance services from AIG Aviation,2023-10-16 11:30:00
492,Amadeus,V-AMA488,AP-70492,2023-10-16,2023-11-15,791292.32,165295.08,625997.24,Distribution,Net 30,Overdue,USD,Distribution services from Amadeus,2023-10-16 11:30:00
493,Menzies Aviation,V-MEN381,AP-70493,2023-10-16,2023-10-31,1539758.09,494705.78,1045052.31,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Menzies Aviation,2023-10-16 11:30:00
494,dnata,V-DNA868,AP-70494,2023-10-16,2023-10-31,682943.53,73616.84,609326.69,Airport Fees,Net 15,Overdue,USD,Airport Fees services from dnata,2023-10-16 11:30:00
495,Allianz Global Corporate & Specialty,V-ALL825,AP-70495,2023-10-17,2023-12-01,690313.95,69743.56,620570.39,Insurance,Net 45,Overdue,USD,Insurance services from Allianz Global Corporate & Specialty,2023-10-17 11:30:00
496,Microsoft,V-MIC938,AP-70496,2023-10-17,2023-11-16,388609.82,145638.3,242971.52,General Admin,Net 30,Overdue,USD,General Admin services from Microsoft,2023-10-17 11:30:00
497,Signature Aviation,V-SIG943,AP-70497,2023-10-17,2023-11-01,1438738.36,518917.12,919821.24,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Signature Aviation,2023-10-17 11:30:00
498,ConEdison,V-CON551,AP-70498,2023-10-18,2023-11-17,206539.33,2310.65,204228.68,General Admin,Net 30,Overdue,USD,General Admin services from ConEdison,2023-10-18 11:30:00
499,Avolon,V-AVO530,AP-70499,2023-10-19,2023-11-18,2917021.0,999394.14,1917626.86,Lease Expense,Net 30,Overdue,USD,Lease Expense services from Avolon,2023-10-19 11:30:00
500,Chevron Aviation,V-CHE958,AP-70500,2023-10-19,2023-11-03,9769930.67,3707143.9,6062786.77,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Chevron Aviation,2023-10-19 11:30:00
501,World Fuel Services,V-WOR909,AP-70501,2023-10-19,2023-11-03,1101715.81,366713.93,735001.88,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2023-10-19 11:30:00
502,Visa Merchant Services,V-VIS840,AP-70502,2023-10-20,2023-11-19,697792.66,257042.96,440749.7,Distribution,Net 30,Overdue,USD,Distribution services from Visa Merchant Services,2023-10-20 11:30:00
503,dnata Catering,V-DNA350,AP-70503,2023-10-20,2023-11-19,1154092.55,179853.69,974238.86,Catering,Net 30,Overdue,USD,Catering services from dnata Catering,2023-10-20 11:30:00
504,American Express Merchant,V-AME382,AP-70504,2023-10-21,2023-11-20,607588.0,79702.28,527885.72,Distribution,Net 30,Overdue,USD,Distribution services from American Express Merchant,2023-10-21 11:30:00
505,GE Aerospace Services,V-GEA951,AP-70505,2023-10-21,2023-11-20,1641125.77,236210.96,1404914.81,Maintenance,Net 30,Overdue,USD,Maintenance services from GE Aerospace Services,2023-10-21 11:30:00
506,Sabre Travel Network,V-SAB834,AP-70506,2023-10-21,2023-11-20,918125.76,97459.46,820666.3,Distribution,Net 30,Overdue,USD,Distribution services from Sabre Travel Network,2023-10-21 11:30:00
507,AAR Corp,V-AAR941,AP-70507,2023-10-22,2023-11-21,2066252.59,121904.19,1944348.4,Maintenance,Net 30,Overdue,USD,Maintenance services from AAR Corp,2023-10-22 11:30:00
508,AT&T Business,V-ATT865,AP-70508,2023-10-22,2023-11-21,401367.41,163611.42,237755.99,General Admin,Net 30,Overdue,USD,General Admin services from AT&T Business,2023-10-22 11:30:00
509,Marsh Aviation,V-MAR666,AP-70509,2023-10-22,2023-12-06,655092.38,181162.46,473929.92,Insurance,Net 45,Overdue,USD,Insurance services from Marsh Aviation,2023-10-22 11:30:00
510,Visa Merchant Services,V-VIS840,AP-70510,2023-10-22,2023-11-21,665630.37,193934.53,471695.84,Distribution,Net 30,Overdue,USD,Distribution services from Visa Merchant Services,2023-10-22 11:30:00
511,Chevron Aviation,V-CHE958,AP-70511,2023-10-23,2023-11-07,4391691.87,1732598.27,2659093.6,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Chevron Aviation,2023-10-23 11:30:00
512,AAR Corp,V-AAR941,AP-70512,2023-10-24,2023-11-23,2020934.17,462375.25,1558558.92,Maintenance,Net 30,Overdue,USD,Maintenance services from AAR Corp,2023-10-24 11:30:00
513,American Express Merchant,V-AME382,AP-70513,2023-10-24,2023-11-23,520983.25,114948.68,406034.57,Distribution,Net 30,Overdue,USD,Distribution services from American Express Merchant,2023-10-24 11:30:00
514,Pratt & Whitney Services,V-PRA964,AP-70514,2023-10-24,2023-11-23,1420907.55,372858.14,1048049.41,Maintenance,Net 30,Overdue,USD,Maintenance services from Pratt & Whitney Services,2023-10-24 11:30:00
515,Rolls-Royce TotalCare,V-ROL451,AP-70515,2023-10-25,2023-11-24,1546261.61,545083.43,1001178.18,Maintenance,Net 30,Overdue,USD,Maintenance services from Rolls-Royce TotalCare,2023-10-25 11:30:00
516,dnata Catering,V-DNA350,AP-70516,2023-10-25,2023-11-24,1079038.68,306196.58,772842.1,Catering,Net 30,Overdue,USD,Catering services from dnata Catering,2023-10-25 11:30:00
517,AerCap,V-AER832,AP-70517,2023-10-27,2023-11-26,3074981.84,982482.24,2092499.6,Lease Expense,Net 30,Overdue,USD,Lease Expense services from AerCap,2023-10-27 11:30:00
518,Amadeus,V-AMA488,AP-70518,2023-10-27,2023-11-26,1082984.89,218221.92,864762.97,Distribution,Net 30,Overdue,USD,Distribution services from Amadeus,2023-10-27 11:30:00
519,Rolls-Royce TotalCare,V-ROL451,AP-70519,2023-10-27,2023-11-26,1662334.44,451558.18,1210776.26,Maintenance,Net 30,Overdue,USD,Maintenance services from Rolls-Royce TotalCare,2023-10-27 11:30:00
520,Swissport,V-SWI574,AP-70520,2023-10-27,2023-11-11,764778.8,161051.56,603727.24,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Swissport,2023-10-27 11:30:00
521,Mastercard Merchant Services,V-MAS103,AP-70521,2023-10-28,2023-11-27,560048.45,111598.19,448450.26,Distribution,Net 30,Overdue,USD,Distribution services from Mastercard Merchant Services,2023-10-28 11:30:00
522,Menzies Aviation,V-MEN381,AP-70522,2023-10-28,2023-11-12,1835321.8,111815.22,1723506.58,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Menzies Aviation,2023-10-28 11:30:00
523,SITA,V-SIT591,AP-70523,2023-10-29,2023-11-28,361147.81,41258.4,319889.41,General Admin,Net 30,Overdue,USD,General Admin services from SITA,2023-10-29 11:30:00
524,Swissport Fueling,V-SWI553,AP-70524,2023-10-29,2023-11-13,1486540.06,430333.11,1056206.95,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Swissport Fueling,2023-10-29 11:30:00
